Iteration,BestFitness
1,67.613
2,83.6244
3,83.6244
4,83.6244
5,83.6244
6,83.9804
7,111.899
8,111.899
9,111.899
10,111.899
11,111.899
12,111.899
13,111.899
14,111.899
15,111.899
16,111.899
17,111.899
18,111.899
19,111.899
20,111.899
21,111.899
22,111.899
23,111.899
24,111.899
25,111.899
26,111.899
27,111.899
28,111.899
29,111.899
30,121.594
31,121.594
32,121.594
33,121.594
34,121.594
35,121.594
36,121.594
37,121.594
38,121.594
39,121.594
40,121.594
41,121.594
42,121.594
43,121.594
44,121.594
45,121.594
46,121.594
47,121.594
48,121.594
49,121.594
50,121.594
51,121.594
52,121.594
53,121.594
54,121.594
55,121.594
56,121.594
57,121.594
58,121.594
59,121.594
60,182.808
61,182.808
62,182.808
63,182.808
64,182.808
65,182.808
66,182.808
67,182.808
68,182.808
69,182.808
70,182.808
71,182.808
72,182.808
73,182.808
74,182.808
75,182.808
76,182.808
77,182.808
78,182.808
79,182.808
80,182.808
81,182.808
82,182.808
83,182.808
84,182.808
85,182.808
86,182.808
87,182.808
88,182.808
89,199.392
90,199.392
91,199.392
92,199.392
93,199.392
94,199.392
95,199.392
96,199.392
97,199.392
98,199.392
99,199.392
100,199.392
101,199.392
102,199.392
103,211.563
104,211.563
105,211.563
106,211.563
107,211.563
108,211.563
109,211.563
110,211.563
111,211.563
112,211.563
113,211.563
114,211.563
115,211.563
116,211.563
117,211.563
118,211.563
119,211.563
120,211.563
121,211.563
122,211.563
123,211.563
124,211.563
125,211.563
126,211.563
127,211.563
128,211.563
129,211.563
130,211.563
131,211.563
132,211.563
133,211.563
134,211.563
135,211.563
136,211.563
137,211.563
138,211.563
139,211.563
140,211.563
141,211.563
142,211.563
143,211.563
144,211.563
145,211.563
146,211.563
147,211.563
148,211.563
149,211.563
150,217.471
151,217.471
152,217.471
153,217.471
154,217.471
155,217.471
156,217.471
157,217.471
158,217.471
159,217.471
160,217.471
161,217.471
162,217.471
163,217.471
164,217.471
165,217.471
166,217.471
167,217.471
168,217.471
169,217.471
170,217.471
171,217.471
172,217.471
173,217.471
174,217.471
175,217.471
176,217.471
177,217.471
178,217.471
179,217.471
180,226.603
181,226.603
182,226.603
183,226.603
184,226.603
185,226.603
186,226.603
187,226.603
188,226.603
189,226.603
190,226.603
191,226.603
192,226.603
193,226.603
194,226.603
195,226.603
196,226.603
197,226.603
198,226.603
199,226.603
200,226.603
201,226.603
202,226.603
203,226.603
204,226.603
205,226.603
206,226.603
207,226.603
208,226.603
209,226.603
210,226.603
211,226.603
212,226.603
213,226.603
214,226.603
215,226.603
