Iteration,BestFitness
0,21.8676
1,312.21
2,284.867
3,294.215
4,315.619
5,321.237
6,347.963
7,347.059
8,346.627
9,346.578
10,346.49
11,346.475
12,346.472
13,346.47
14,346.47
15,346.469
16,346.469
17,346.469
18,346.469
19,346.469
20,346.469
21,346.469
22,346.469
23,346.469
24,346.469
25,346.469
26,346.469
27,346.469
28,346.469
29,346.469
30,346.469
31,346.469
32,346.469
33,346.469
34,346.469
35,346.469
36,346.469
37,346.469
38,346.469
39,346.469
40,346.469
41,346.469
42,346.469
43,346.469
44,346.469
45,346.469
46,346.469
47,346.469
48,346.469
49,346.469
50,346.469
51,346.469
52,346.469
53,346.469
54,346.469
55,346.469
56,346.469
57,346.469
58,346.469
59,346.469
60,346.469
61,346.469
62,346.469
63,346.469
64,346.469
65,346.469
66,346.469
67,346.469
68,346.469
69,346.469
70,346.469
71,346.469
72,346.469
73,346.469
74,346.469
75,346.469
76,346.469
77,346.469
78,346.469
79,346.469
80,346.469
81,346.469
82,346.469
83,346.469
84,346.469
85,346.469
86,346.469
87,346.469
88,346.469
89,346.469
90,346.469
91,346.469
92,346.469
93,346.469
94,346.469
95,346.469
96,346.469
97,346.469
98,346.469
99,346.469
100,346.469
101,346.469
102,346.469
103,346.469
104,346.469
105,346.469
106,346.469
107,346.469
108,346.469
109,346.469
110,346.469
111,346.469
112,346.469
113,346.469
114,346.469
115,346.469
116,346.469
117,346.469
118,346.469
119,346.469
120,346.469
121,346.469
122,346.469
123,346.469
124,346.469
125,346.469
126,346.469
127,346.469
128,346.469
129,346.469
130,346.469
131,346.469
132,346.469
133,346.469
134,346.469
135,346.469
136,346.469
137,346.469
138,346.469
139,346.469
140,346.469
141,346.469
142,346.469
143,346.469
144,346.469
145,346.469
146,346.469
147,346.469
148,346.469
149,346.469
150,346.469
151,346.469
152,346.469
153,346.469
154,346.469
155,346.469
156,346.469
157,346.469
158,346.469
159,346.469
160,346.469
161,346.469
162,346.469
163,346.469
164,346.469
165,346.469
166,346.469
167,346.469
168,346.469
169,346.469
170,346.469
171,346.469
172,346.469
173,346.469
174,346.469
175,346.469
176,346.469
177,346.469
178,346.469
179,346.469
180,346.469
181,346.469
182,346.469
183,346.469
184,346.469
185,346.469
186,346.469
187,346.469
188,346.469
189,346.469
190,346.469
191,346.469
192,346.469
193,346.469
194,346.469
195,346.469
196,346.469
197,346.469
198,346.469
199,346.469
200,346.469
201,346.469
202,346.469
203,346.469
204,346.469
205,346.469
206,346.469
207,346.469
208,346.469
209,346.469
210,346.469
211,346.469
212,346.469
213,346.469
214,346.469
215,346.469
216,346.469
217,346.469
218,346.469
219,346.469
220,346.469
221,346.469
222,346.469
223,346.469
224,346.469
225,346.469
226,346.469
227,346.469
228,346.469
229,346.469
230,346.469
231,346.469
232,346.469
233,346.469
234,346.469
235,346.469
236,346.469
237,346.469
238,346.469
239,346.469
240,346.469
241,346.469
242,346.469
243,346.469
244,346.469
245,346.469
246,346.469
247,346.469
248,346.469
249,346.469
250,346.469
251,346.469
252,346.469
253,346.469
254,346.469
255,346.469
256,346.469
257,346.469
258,346.469
259,346.469
260,346.469
261,346.469
262,346.469
263,346.469
264,346.469
265,346.469
266,346.469
267,346.469
268,346.469
269,346.469
270,346.469
271,346.469
272,346.469
273,346.469
274,346.469
275,346.469
276,346.469
277,346.469
278,346.469
279,346.469
280,346.469
281,346.469
282,346.469
283,346.469
284,346.469
285,346.469
286,346.469
287,346.469
288,346.469
289,346.469
290,346.469
291,346.469
292,346.469
293,346.469
294,346.469
295,346.469
296,346.469
297,346.469
298,346.469
299,346.469
300,346.469
301,346.469
302,346.469
303,346.469
304,346.469
305,346.469
306,346.469
307,346.469
308,346.469
309,346.469
310,346.469
311,346.469
312,346.469
313,346.469
314,346.469
315,346.469
316,346.469
317,346.469
318,346.469
319,346.469
320,346.469
321,346.469
322,346.469
323,346.469
324,346.469
325,346.469
326,346.469
327,346.469
328,346.469
329,346.469
330,346.469
331,346.469
332,346.469
333,346.469
334,346.469
335,346.469
336,346.469
337,346.469
338,346.469
339,346.469
340,346.469
341,346.469
342,346.469
343,346.469
344,346.469
345,346.469
346,346.469
347,346.469
348,346.469
349,346.469
350,346.469
351,346.469
352,346.469
353,346.469
354,346.469
355,346.469
356,346.469
357,346.469
358,346.469
359,346.469
360,346.469
361,346.469
362,346.469
363,346.469
364,346.469
365,346.469
366,346.469
367,346.469
368,346.469
369,346.469
370,346.469
371,346.469
372,346.469
373,346.469
374,346.469
375,346.469
376,346.469
377,346.469
378,346.469
379,346.469
380,346.469
381,346.469
382,346.469
383,346.469
384,346.469
385,346.469
386,346.469
387,346.469
388,346.469
389,346.469
390,346.469
391,346.469
392,346.469
393,346.469
394,346.469
395,346.469
396,346.469
397,346.469
398,346.469
399,346.469
400,346.469
401,346.469
402,346.469
403,346.469
404,346.469
405,346.469
406,346.469
407,346.469
408,346.469
409,346.469
410,346.469
411,346.469
412,346.469
413,346.469
414,346.469
415,346.469
416,346.469
417,346.469
418,346.469
419,346.469
420,346.469
421,346.469
422,346.469
423,346.469
424,346.469
425,346.469
426,346.469
427,346.469
428,346.469
429,346.469
430,346.469
431,346.469
432,346.469
433,346.469
434,346.469
435,346.469
436,346.469
437,346.469
438,346.469
439,346.469
440,346.469
441,346.469
442,346.469
443,346.469
444,346.469
445,346.469
446,346.469
447,346.469
448,346.469
449,346.469
450,346.469
451,346.469
452,346.469
453,346.469
454,346.469
455,346.469
456,346.469
457,346.469
458,346.469
459,346.469
460,346.469
461,346.469
462,346.469
463,346.469
464,346.469
465,346.469
466,346.469
467,346.469
468,346.469
469,346.469
470,346.469
471,346.469
472,346.469
473,346.469
474,346.469
475,346.469
476,346.469
477,346.469
478,346.469
479,346.469
480,346.469
481,346.469
482,346.469
483,346.469
484,346.469
485,346.469
486,346.469
487,346.469
488,346.469
489,346.469
490,346.469
491,346.469
492,346.469
493,346.469
494,346.469
495,346.469
496,346.469
497,346.469
498,346.469
499,346.469
500,346.469
