Iteration,BestFitness
1,94.2633
2,124.667
3,124.667
4,124.667
5,142.128
6,142.128
7,142.128
8,142.128
9,142.128
10,142.128
11,142.128
12,142.128
13,142.128
14,142.128
15,142.128
16,142.128
17,142.128
18,142.128
19,142.128
20,142.128
21,142.128
22,142.128
23,142.128
24,142.128
25,142.128
26,142.128
27,142.128
28,142.128
29,142.128
30,142.128
31,142.128
32,142.128
33,142.128
34,142.128
35,241.698
36,241.698
37,241.698
38,241.698
39,241.698
40,241.698
41,241.698
42,241.698
43,241.698
44,241.698
45,241.698
46,241.698
47,241.698
48,241.698
49,241.698
50,241.698
51,241.698
52,241.698
53,241.698
54,241.698
55,241.698
56,241.698
57,241.698
58,241.698
59,241.698
60,241.698
61,241.698
62,241.698
63,241.698
64,241.698
65,241.698
66,241.698
67,241.698
68,241.698
69,241.698
70,241.698
71,241.698
72,241.698
73,241.698
74,241.698
75,241.698
76,241.698
77,241.698
78,241.698
79,241.698
80,241.698
81,241.698
82,241.698
83,241.698
84,241.698
85,241.698
86,241.698
87,241.698
88,241.698
89,241.698
90,241.698
91,241.698
92,241.698
93,241.698
94,241.698
95,241.698
96,241.698
97,241.698
98,241.698
99,241.698
100,241.698
101,241.698
102,241.698
103,241.698
104,241.698
105,241.698
106,241.698
107,241.698
108,241.698
109,241.698
110,241.698
111,241.698
112,241.698
113,241.698
114,241.698
115,241.698
116,241.698
117,241.698
118,241.698
119,241.698
120,241.698
121,241.698
122,241.698
123,241.698
124,241.698
125,252.387
126,252.387
127,252.387
128,252.387
129,252.387
130,252.387
131,252.387
132,252.387
133,252.387
134,252.387
135,252.387
136,252.387
137,252.387
138,252.387
139,252.387
140,252.387
141,252.387
142,252.387
143,252.387
144,252.387
145,252.387
146,252.387
147,252.387
148,252.387
149,252.387
150,252.387
151,252.387
152,252.387
153,252.387
154,252.387
155,252.387
156,252.387
157,252.387
158,252.387
159,252.387
160,252.387
161,252.387
162,252.387
163,252.387
164,252.387
165,252.387
166,252.387
167,252.387
168,252.387
169,252.387
170,252.387
171,252.387
172,252.387
173,252.387
174,252.387
175,252.387
176,252.387
177,252.387
178,252.387
179,252.387
180,252.387
181,252.387
182,252.387
183,252.387
184,252.387
185,252.387
186,252.387
187,252.387
188,252.387
189,252.387
190,252.387
191,252.387
192,252.387
193,252.387
194,252.387
195,252.387
196,252.387
197,252.387
198,252.387
199,252.387
200,252.387
201,252.387
202,252.387
203,252.387
204,252.387
205,252.387
206,252.387
207,252.387
208,252.387
209,252.387
210,252.387
211,252.387
212,252.387
213,252.387
214,252.387
215,252.387
216,252.387
217,252.387
218,252.387
219,252.387
220,252.387
221,252.387
222,252.387
223,255.115
224,255.115
225,255.115
226,255.115
227,255.115
228,255.115
229,255.115
230,255.115
231,255.115
232,255.115
233,255.115
234,255.115
235,255.115
236,255.115
237,255.115
238,255.115
239,255.115
240,255.115
241,255.115
242,255.115
243,255.115
244,255.115
245,255.115
246,255.115
247,255.115
248,255.115
249,255.115
250,255.115
251,255.115
252,255.115
253,311.758
254,311.758
255,311.758
256,311.758
257,311.758
258,311.758
259,311.758
260,311.758
261,311.758
262,311.758
263,311.758
264,311.758
265,311.758
266,311.758
267,311.758
268,311.758
269,311.758
270,311.758
271,311.758
272,311.758
273,311.758
274,311.758
275,311.758
276,311.758
277,311.758
278,332.768
279,332.768
280,346.911
281,346.911
282,346.911
283,346.911
284,346.911
285,346.911
286,346.911
287,346.911
288,346.911
289,346.911
290,346.911
291,346.911
292,346.911
293,346.911
294,346.911
295,346.911
296,346.911
297,346.911
298,346.911
299,346.911
300,346.911
301,346.911
302,346.911
303,346.911
304,346.911
305,346.911
306,346.911
307,346.911
308,346.911
309,346.911
310,346.911
311,346.911
312,346.911
313,346.911
314,346.911
315,346.911
316,346.911
317,346.911
318,346.911
319,346.911
320,360.468
321,360.468
322,360.468
323,360.468
324,360.468
325,360.468
326,360.468
327,360.468
328,360.468
329,360.468
330,360.468
331,360.468
332,360.468
333,360.468
334,360.468
335,360.468
336,360.468
337,360.468
338,360.468
339,360.468
340,360.468
341,360.468
342,360.468
343,360.468
344,360.468
345,360.468
346,360.468
347,360.468
348,360.468
349,360.468
350,360.468
351,360.468
352,360.468
353,360.468
354,360.468
355,360.468
356,360.468
357,360.468
358,360.468
359,360.468
360,360.468
361,360.468
362,360.468
363,365.892
364,365.892
365,365.892
366,365.892
367,365.892
368,365.892
369,365.892
370,365.892
371,365.892
372,365.892
373,365.892
374,365.892
375,365.892
376,365.892
377,365.892
378,365.892
379,365.892
380,365.892
381,365.892
382,365.892
383,365.892
384,365.892
385,365.892
386,365.892
387,365.892
388,365.892
389,365.892
390,365.892
391,365.892
392,365.892
393,365.892
394,365.892
395,365.892
396,369.278
397,369.278
398,369.278
399,369.278
400,369.278
401,369.278
402,369.278
403,369.278
404,369.278
405,369.278
406,369.278
407,369.278
408,369.278
409,371.533
410,371.533
411,371.533
412,371.533
413,371.533
414,371.533
415,371.533
416,371.533
417,371.533
418,371.533
419,371.533
420,371.533
421,371.533
422,371.533
423,371.533
424,371.533
425,371.533
426,371.533
427,371.533
428,371.533
429,371.533
430,371.533
431,372.663
432,372.663
433,372.663
434,372.663
435,372.663
436,372.663
437,372.663
438,372.663
439,372.663
440,372.663
441,372.663
442,372.663
443,372.663
444,372.663
445,372.663
446,372.663
447,372.663
448,372.663
449,372.663
450,372.663
451,372.663
452,372.663
453,372.663
454,372.663
455,372.663
456,372.663
457,372.663
458,372.663
459,372.663
460,372.663
461,372.663
462,386.164
463,386.164
464,386.164
465,386.164
466,392.307
467,392.307
468,392.307
469,392.307
470,392.307
471,392.307
472,392.307
473,392.307
474,392.307
475,392.307
476,392.307
477,399.591
478,399.591
479,399.591
480,399.591
481,399.591
482,399.591
483,399.591
484,399.591
485,399.591
486,399.591
487,399.591
488,399.591
489,399.591
490,399.591
491,399.591
492,399.591
493,399.591
494,399.853
495,399.853
496,399.853
497,399.853
498,399.853
499,399.853
500,399.853
